company,company_website,industry,job_title,pub_date,job_url,source
WATCHOUT STUDIO sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-27,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-warszawa-obserwatorow-7,oferta,1004349400",pracuj.pl
"""YUNCHENG (POLAND)"" sp. z o.o.",,,Główna/y księgowy / Główna księgowa,2025-09-27,"https://www.pracuj.pl/praca/glowna-y-ksiegowy-glowna-ksiegowa-konstantynow-lodzki,oferta,1004381682",pracuj.pl
Banach Outsourcing Sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-27,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-poznan-tylne-chwaliszewo-25,oferta,1004381478",pracuj.pl
CIS Sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-27,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-pogwizdow-pow-lancucki,oferta,1004380751",pracuj.pl
MATYS INVESTMENT sp. z o.o. SPÓŁKA KOMANDYTOWO - AKCYJNA,,,Główny księgowy / Główna księgowa,2025-09-27,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-szczecin,oferta,1004380688",pracuj.pl
"""ŚWIEBODZIŃSKIE TOWARZYSTWO BUDOWNICTWA SPOŁECZNEGO"" sp. z o.o.",,,Główny księgowy / Główna księgowa,2025-09-27,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-swiebodzin-cegielniana-2,oferta,1004380190",pracuj.pl
EVIDENCE PRIME sp. z o.o.,,,Główny księgowy / Główna księgowa z j. ang.,2025-09-27,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-z-j-ang-krakow,oferta,1004357671",pracuj.pl
Manpower,,,Główna Księgowa/Główny Księgowy,2025-09-27,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-trzebinia,oferta,1004379549",pracuj.pl
WATCHOUT STUDIO sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-27,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-warszawa-obserwatorow-7,oferta,1004349400",pracuj.pl
"""YUNCHENG (POLAND)"" sp. z o.o.",,,Główna/y księgowy / Główna księgowa,2025-09-27,"https://www.pracuj.pl/praca/glowna-y-ksiegowy-glowna-ksiegowa-konstantynow-lodzki,oferta,1004381682",pracuj.pl
Banach Outsourcing Sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-27,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-poznan-tylne-chwaliszewo-25,oferta,1004381478",pracuj.pl
CIS Sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-27,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-pogwizdow-pow-lancucki,oferta,1004380751",pracuj.pl
MATYS INVESTMENT sp. z o.o. SPÓŁKA KOMANDYTOWO - AKCYJNA,,,Główny księgowy / Główna księgowa,2025-09-27,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-szczecin,oferta,1004380688",pracuj.pl
"""ŚWIEBODZIŃSKIE TOWARZYSTWO BUDOWNICTWA SPOŁECZNEGO"" sp. z o.o.",,,Główny księgowy / Główna księgowa,2025-09-27,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-swiebodzin-cegielniana-2,oferta,1004380190",pracuj.pl
EVIDENCE PRIME sp. z o.o.,,,Główny księgowy / Główna księgowa z j. ang.,2025-09-27,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-z-j-ang-krakow,oferta,1004357671",pracuj.pl
Manpower,,,Główna Księgowa/Główny Księgowy,2025-09-27,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-trzebinia,oferta,1004379549",pracuj.pl
WATCHOUT STUDIO sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-27,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-warszawa-obserwatorow-7,oferta,1004349400",pracuj.pl
"""YUNCHENG (POLAND)"" sp. z o.o.",,,Główna/y księgowy / Główna księgowa,2025-09-27,"https://www.pracuj.pl/praca/glowna-y-ksiegowy-glowna-ksiegowa-konstantynow-lodzki,oferta,1004381682",pracuj.pl
Banach Outsourcing Sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-27,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-poznan-tylne-chwaliszewo-25,oferta,1004381478",pracuj.pl
CIS Sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-27,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-pogwizdow-pow-lancucki,oferta,1004380751",pracuj.pl
MATYS INVESTMENT sp. z o.o. SPÓŁKA KOMANDYTOWO - AKCYJNA,,,Główny księgowy / Główna księgowa,2025-09-27,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-szczecin,oferta,1004380688",pracuj.pl
